;airline;flight;source_city;departure_time;stops;arrival_time;destination_city;class;duration;days_left;price
0;SpiceJet;SG-8709;Delhi;Evening;zero;Night;Mumbai;Economy;2.17;1;5953
1;SpiceJet;SG-8157;Delhi;Early_Morning;zero;Morning;Mumbai;Economy;2.33;1;5953
2;AirAsia;I5-764;Delhi;Early_Morning;zero;Early_Morning;Mumbai;Economy;2.17;1;5956
3;Vistara;UK-995;Delhi;Morning;zero;Afternoon;Mumbai;Economy;2.25;1;5955
4;Vistara;UK-963;Delhi;Morning;zero;Morning;Mumbai;Economy;2.33;1;5955
5;Vistara;UK-945;Delhi;Morning;zero;Afternoon;Mumbai;Economy;2.33;1;5955
6;Vistara;UK-927;Delhi;Morning;zero;Morning;Mumbai;Economy;2.08;1;6060
7;Vistara;UK-951;Delhi;Afternoon;zero;Evening;Mumbai;Economy;2.17;1;6060
8;GO_FIRST;G8-334;Delhi;Early_Morning;zero;Morning;Mumbai;Economy;2.17;1;5954
9;GO_FIRST;G8-336;Delhi;Afternoon;zero;Evening;Mumbai;Economy;2.25;1;5954
10;GO_FIRST;G8-392;Delhi;Afternoon;zero;Evening;Mumbai;Economy;2.25;1;5954
11;GO_FIRST;G8-338;Delhi;Morning;zero;Afternoon;Mumbai;Economy;2.33;1;5954
12;Indigo;6E-5001;Delhi;Early_Morning;zero;Morning;Mumbai;Economy;2.17;1;5955
13;Indigo;6E-6202;Delhi;Morning;zero;Afternoon;Mumbai;Economy;2.17;1;5955
14;Indigo;6E-549;Delhi;Afternoon;zero;Evening;Mumbai;Economy;2.25;1;5955
15;Indigo;6E-6278;Delhi;Morning;zero;Morning;Mumbai;Economy;2.33;1;5955
16;Air_India;AI-887;Delhi;Early_Morning;zero;Morning;Mumbai;Economy;2.08;1;5955
17;Air_India;AI-665;Delhi;Early_Morning;zero;Morning;Mumbai;Economy;2.17;1;5955
18;AirAsia;I5-747;Delhi;Evening;one;Early_Morning;Mumbai;Economy;12.25;1;5949
19;AirAsia;I5-747;Delhi;Evening;one;Morning;Mumbai;Economy;16.33;1;5949
20;GO_FIRST;G8-266;Delhi;Early_Morning;one;Evening;Mumbai;Economy;11.75;1;5954
21;GO_FIRST;G8-101;Delhi;Early_Morning;one;Night;Mumbai;Economy;14.5;1;5954
22;GO_FIRST;G8-103;Delhi;Evening;one;Morning;Mumbai;Economy;15.67;1;5954
23;Air_India;AI-441;Delhi;Evening;one;Night;Mumbai;Economy;3.75;1;5955
24;Indigo;6E-5328;Delhi;Morning;zero;Morning;Mumbai;Economy;2.5;1;6165
25;Vistara;UK-933;Delhi;Afternoon;zero;Evening;Mumbai;Economy;2.17;1;6690
26;Indigo;6E-2046;Delhi;Evening;zero;Evening;Mumbai;Economy;2.17;1;6585
27;AirAsia;I5-744;Delhi;Morning;one;Afternoon;Mumbai;Economy;5.83;1;8869
28;SpiceJet;SG-8169;Delhi;Evening;zero;Night;Mumbai;Economy;2.33;1;10260
29;Indigo;6E-5041;Delhi;Evening;zero;Night;Mumbai;Economy;2.17;1;10470
30;GO_FIRST;G8-165;Delhi;Early_Morning;one;Afternoon;Mumbai;Economy;8.0;1;10575
31;Indigo;6E-2373;Delhi;Afternoon;one;Evening;Mumbai;Economy;6.0;1;10838
32;Vistara;UK-813;Delhi;Evening;one;Morning;Mumbai;Economy;14.67;1;12150
33;Vistara;UK-817;Delhi;Evening;one;Morning;Mumbai;Economy;16.17;1;12150
34;Vistara;UK-819;Delhi;Afternoon;one;Morning;Mumbai;Economy;18.0;1;12150
